x,y,z,E,machine_type,status,file_name
-3.5,9.0,3.5,-0.9763992850203068,2,Done,PDI_x=-3.5_z=3.5_y=9.0.log
-3.5,8.5,3.5,-1.481814664322883,2,Done,PDI_x=-3.5_z=3.5_y=8.5.log
-3.5,8.5,4.5,-1.6622614397201687,2,Done,PDI_x=-3.5_z=4.5_y=8.5.log
-3.5,9.0,4.5,-1.1825990709476173,1,Done,PDI_x=-3.5_z=4.5_y=9.0.log
-3.5,8.5,5.5,-1.748851544689387,1,Done,PDI_x=-3.5_z=5.5_y=8.5.log
-3.5,9.0,5.5,-1.3086407294031233,1,Done,PDI_x=-3.5_z=5.5_y=9.0.log
-3.5,8.5,7.5,-1.5226969406940043,2,Done,PDI_x=-3.5_z=7.5_y=8.5.log
-3.5,8.5,7.5,-1.5226969406940043,2,Done,PDI_x=-3.5_z=7.5_y=8.5.log
-3.5,8.0,8.5,-1.54283373686485,2,Done,PDI_x=-3.5_z=8.5_y=8.0.log
-3.5,8.0,8.5,-1.54283373686485,1,Done,PDI_x=-3.5_z=8.5_y=8.0.log
-3.5,8.5,6.5,-1.7006274012383074,1,Done,PDI_x=-3.5_z=6.5_y=8.5.log
-3.5,8.0,7.5,-1.8841866264119744,1,Done,PDI_x=-3.5_z=7.5_y=8.0.log
-3.5,8.0,7.5,-1.8841866264119744,2,Done,PDI_x=-3.5_z=7.5_y=8.0.log
-3.5,8.0,6.5,-2.166189620271325,2,Done,PDI_x=-3.5_z=6.5_y=8.0.log
-3.5,9.0,4.0,-1.0860441070981324,2,Done,PDI_x=-3.5_z=4.0_y=9.0.log
-3.5,8.5,4.0,-1.5790347885340452,1,Done,PDI_x=-3.5_z=4.0_y=8.5.log
-3.5,8.5,4.0,-1.5790347885340452,1,Done,PDI_x=-3.5_z=4.0_y=8.5.log
-3.5,8.5,5.0,-1.7210905025713146,1,Done,PDI_x=-3.5_z=5.0_y=8.5.log
-3.5,9.0,5.0,-1.25860935728997,2,Done,PDI_x=-3.5_z=5.0_y=9.0.log
-3.5,9.0,5.0,-1.25860935728997,2,Done,PDI_x=-3.5_z=5.0_y=9.0.log
-3.5,8.5,6.0,-1.7424823180772364,2,Done,PDI_x=-3.5_z=6.0_y=8.5.log
-3.5,9.0,6.0,-1.330421601422131,1,Done,PDI_x=-3.5_z=6.0_y=9.0.log
-3.5,9.0,6.0,-1.330421601422131,1,Done,PDI_x=-3.5_z=6.0_y=9.0.log
-3.5,8.5,7.0,-1.625037546735257,1,Done,PDI_x=-3.5_z=7.0_y=8.5.log
-3.5,8.5,8.0,-1.4027923301327974,2,Done,PDI_x=-3.5_z=8.0_y=8.5.log
-3.5,8.0,7.0,-2.0393572992179543,2,Done,PDI_x=-3.5_z=7.0_y=8.0.log
-3.5,8.0,7.0,-2.0393572992179543,2,Done,PDI_x=-3.5_z=7.0_y=8.0.log
-3.5,8.0,8.0,-1.7158445187378677,1,Done,PDI_x=-3.5_z=8.0_y=8.0.log
-3.5,9.0,3.0,-0.8598267524503171,1,Done,PDI_x=-3.5_z=3.0_y=9.0.log
-3.5,9.0,3.0,-0.8598267524503171,1,Done,PDI_x=-3.5_z=3.0_y=9.0.log
-3.5,8.5,3.0,-1.3771459960844368,2,Done,PDI_x=-3.5_z=3.0_y=8.5.log
-3.5,8.0,6.0,-2.25373354065232,2,Done,PDI_x=-3.5_z=6.0_y=8.0.log
-3.5,8.0,6.0,-2.25373354065232,2,Done,PDI_x=-3.5_z=6.0_y=8.0.log
-3.5,9.0,2.5,-0.7372552240267396,1,Done,PDI_x=-3.5_z=2.5_y=9.0.log
-3.5,8.5,2.5,-1.2623430415987968,1,Done,PDI_x=-3.5_z=2.5_y=8.5.log
-3.5,8.0,5.5,-2.299874351127073,1,Done,PDI_x=-3.5_z=5.5_y=8.0.log
-3.5,8.0,5.5,-2.299874351127073,2,Done,PDI_x=-3.5_z=5.5_y=8.0.log
-3.5,9.0,2.0,-0.6102158243302256,2,Done,PDI_x=-3.5_z=2.0_y=9.0.log
-3.5,8.5,2.0,-1.132824977627024,2,Done,PDI_x=-3.5_z=2.0_y=8.5.log
-3.5,8.5,2.0,-1.132824977627024,1,Done,PDI_x=-3.5_z=2.0_y=8.5.log
-3.5,8.0,5.0,-2.3064130048733205,2,Done,PDI_x=-3.5_z=5.0_y=8.0.log
-3.5,8.0,4.0,-2.220946143148467,1,Done,PDI_x=-3.5_z=4.0_y=8.0.log
-3.5,8.0,4.0,-2.220946143148467,2,Done,PDI_x=-3.5_z=4.0_y=8.0.log
-3.5,7.5,9.0,-1.6329378976952285,1,Done,PDI_x=-3.5_z=9.0_y=7.5.log
-3.5,7.5,8.0,-2.074767688522116,2,Done,PDI_x=-3.5_z=8.0_y=7.5.log
-3.5,7.5,7.0,-2.510943614412099,1,Done,PDI_x=-3.5_z=7.0_y=7.5.log
-3.5,7.5,7.0,-2.510943614412099,2,Done,PDI_x=-3.5_z=7.0_y=7.5.log
-3.5,8.0,4.5,-2.2774659688584507,1,Done,PDI_x=-3.5_z=4.5_y=8.0.log
-3.5,7.5,7.5,-2.296335194259882,2,Done,PDI_x=-3.5_z=7.5_y=7.5.log
-3.5,7.5,7.5,-2.296335194259882,2,Done,PDI_x=-3.5_z=7.5_y=7.5.log
-3.5,7.5,8.5,-1.8556411964818835,1,Done,PDI_x=-3.5_z=8.5_y=7.5.log
-3.5,8.0,3.5,-2.151317632989958,2,Done,PDI_x=-3.5_z=3.5_y=8.0.log
-3.5,8.0,3.5,-2.151317632989958,2,Done,PDI_x=-3.5_z=3.5_y=8.0.log
-3.5,7.5,6.5,-2.697684315266088,1,Done,PDI_x=-3.5_z=6.5_y=7.5.log
-3.5,8.0,3.0,-2.0747739635407925,2,Done,PDI_x=-3.5_z=3.0_y=8.0.log
-3.5,7.5,6.0,-2.839865531306714,1,Done,PDI_x=-3.5_z=6.0_y=7.5.log
-3.5,7.5,6.0,-2.839865531306714,2,Done,PDI_x=-3.5_z=6.0_y=7.5.log
-3.5,8.0,2.0,-1.85626243124716,2,Done,PDI_x=-3.5_z=2.0_y=8.0.log
-3.5,7.5,5.0,-2.9869538750499487,1,Done,PDI_x=-3.5_z=5.0_y=7.5.log
-3.5,7.5,5.0,-2.9869538750499487,2,Done,PDI_x=-3.5_z=5.0_y=7.5.log
-3.5,8.0,2.5,-1.980609812773764,2,Done,PDI_x=-3.5_z=2.5_y=8.0.log
-3.5,7.5,5.5,-2.935184300178662,1,Done,PDI_x=-3.5_z=5.5_y=7.5.log
-3.5,7.5,5.5,-2.935184300178662,1,Done,PDI_x=-3.5_z=5.5_y=7.5.log
-3.5,7.5,4.5,-2.999899406451732,2,Done,PDI_x=-3.5_z=4.5_y=7.5.log
-3.5,7.0,9.5,-1.6537022034171969,2,Done,PDI_x=-3.5_z=9.5_y=7.0.log
-3.5,7.0,8.5,-2.189275713404641,1,Done,PDI_x=-3.5_z=8.5_y=7.0.log
-3.5,7.0,8.5,-2.189275713404641,1,Done,PDI_x=-3.5_z=8.5_y=7.0.log
-3.5,7.0,7.5,-2.7298944036010653,2,Done,PDI_x=-3.5_z=7.5_y=7.0.log
-3.5,7.0,8.0,-2.4547626439016312,2,Done,PDI_x=-3.5_z=8.0_y=7.0.log
-3.5,7.0,9.0,-1.9281123264227065,1,Done,PDI_x=-3.5_z=9.0_y=7.0.log
-3.5,7.0,9.0,-1.9281123264227065,2,Done,PDI_x=-3.5_z=9.0_y=7.0.log
-3.5,7.5,4.0,-2.986633845139295,2,Done,PDI_x=-3.5_z=4.0_y=7.5.log
-3.5,7.0,7.0,-3.005183040862903,2,Done,PDI_x=-3.5_z=7.0_y=7.0.log
-3.5,7.5,3.5,-2.96486552292481,1,Done,PDI_x=-3.5_z=3.5_y=7.5.log
-3.5,7.5,3.5,-2.96486552292481,2,Done,PDI_x=-3.5_z=3.5_y=7.5.log
-3.5,7.0,6.5,-3.255277151009068,1,Done,PDI_x=-3.5_z=6.5_y=7.0.log
-3.5,7.5,2.0,-2.767714431509376,1,Done,PDI_x=-3.5_z=2.0_y=7.5.log
-3.5,7.5,3.0,-2.9355921815149486,2,Done,PDI_x=-3.5_z=3.0_y=7.5.log
-3.5,7.5,3.0,-2.9355921815149486,2,Done,PDI_x=-3.5_z=3.0_y=7.5.log
-3.5,7.0,6.0,-3.4576365759130567,1,Done,PDI_x=-3.5_z=6.0_y=7.0.log
-3.5,7.0,5.0,-3.706406640121713,2,Done,PDI_x=-3.5_z=5.0_y=7.0.log
-3.5,7.0,5.0,-3.706406640121713,1,Done,PDI_x=-3.5_z=5.0_y=7.0.log
-3.5,7.5,2.5,-2.878005588892848,2,Done,PDI_x=-3.5_z=2.5_y=7.5.log
-3.5,7.0,5.5,-3.606218393426389,2,Done,PDI_x=-3.5_z=5.5_y=7.0.log
-3.5,7.0,5.5,-3.606218393426389,2,Done,PDI_x=-3.5_z=5.5_y=7.0.log
-3.5,8.0,1.5,-1.7089042582083491,1,Done,PDI_x=-3.5_z=1.5_y=8.0.log
-3.5,7.5,1.5,-2.611627594102174,2,Done,PDI_x=-3.5_z=1.5_y=7.5.log
-3.5,7.5,1.5,-2.611627594102174,2,Done,PDI_x=-3.5_z=1.5_y=7.5.log
-3.5,7.0,4.5,-3.772985451389104,2,Done,PDI_x=-3.5_z=4.5_y=7.0.log
-3.5,6.5,10.0,-1.6128073766594753,1,Done,PDI_x=-3.5_z=10.0_y=6.5.log
-3.5,6.5,10.0,-1.6128073766594753,1,Done,PDI_x=-3.5_z=10.0_y=6.5.log
-3.5,6.5,9.0,-2.225282236933708,2,Done,PDI_x=-3.5_z=9.0_y=6.5.log
-3.5,6.5,8.0,-2.8223705522250384,2,Done,PDI_x=-3.5_z=8.0_y=6.5.log
-3.5,6.5,8.0,-2.8223705522250384,1,Done,PDI_x=-3.5_z=8.0_y=6.5.log
-3.5,6.5,8.5,-2.514539246680215,2,Done,PDI_x=-3.5_z=8.5_y=6.5.log
-3.5,6.5,9.5,-1.9330759304575624,2,Done,PDI_x=-3.5_z=9.5_y=6.5.log
-3.5,6.5,9.5,-1.9330759304575624,2,Done,PDI_x=-3.5_z=9.5_y=6.5.log
-3.5,6.5,7.5,-3.15191370411776,1,Done,PDI_x=-3.5_z=7.5_y=6.5.log
-3.5,7.0,4.0,-3.823311753338203,1,Done,PDI_x=-3.5_z=4.0_y=7.0.log
-3.5,6.5,7.0,-3.4883092646487057,1,Done,PDI_x=-3.5_z=7.0_y=6.5.log
-3.5,6.5,7.0,-3.4883092646487057,2,Done,PDI_x=-3.5_z=7.0_y=6.5.log
-3.5,7.0,3.5,-3.873895334545523,2,Done,PDI_x=-3.5_z=3.5_y=7.0.log
-3.5,6.5,6.5,-3.804429977666586,2,Done,PDI_x=-3.5_z=6.5_y=6.5.log
-3.5,6.5,6.5,-3.804429977666586,1,Done,PDI_x=-3.5_z=6.5_y=6.5.log
-3.5,6.5,4.5,-4.525853123981506,1,Done,PDI_x=-3.5_z=4.5_y=6.5.log
-3.5,6.5,5.5,-4.262744456063956,1,Done,PDI_x=-3.5_z=5.5_y=6.5.log
-3.5,6.5,5.5,-4.262744456063956,2,Done,PDI_x=-3.5_z=5.5_y=6.5.log
-3.5,6.0,9.5,-2.240524454973638,2,Done,PDI_x=-3.5_z=9.5_y=6.0.log
-3.5,6.0,8.5,-2.826838423497975,2,Done,PDI_x=-3.5_z=8.5_y=6.0.log
-3.5,6.0,7.5,-3.56103767384775,1,Done,PDI_x=-3.5_z=7.5_y=6.0.log
-3.5,6.0,7.5,-3.56103767384775,1,Done,PDI_x=-3.5_z=7.5_y=6.0.log
-3.5,6.5,5.0,-4.404756244039163,2,Done,PDI_x=-3.5_z=5.0_y=6.5.log
-3.5,6.5,6.0,-4.068097129231319,2,Done,PDI_x=-3.5_z=6.0_y=6.5.log
-3.5,6.5,6.0,-4.068097129231319,2,Done,PDI_x=-3.5_z=6.0_y=6.5.log
-3.5,6.0,8.0,-3.1752382507547736,1,Done,PDI_x=-3.5_z=8.0_y=6.0.log
-3.5,6.0,9.0,-2.5241024990100414,1,Done,PDI_x=-3.5_z=9.0_y=6.0.log
-3.5,6.5,4.0,-4.659475103253499,2,Done,PDI_x=-3.5_z=4.0_y=6.5.log
-3.5,6.5,4.0,-4.659475103253499,2,Done,PDI_x=-3.5_z=4.0_y=6.5.log
-3.5,6.0,7.0,-3.9631398066412657,1,Done,PDI_x=-3.5_z=7.0_y=6.0.log
-3.5,6.5,3.5,-4.817764500621706,2,Done,PDI_x=-3.5_z=3.5_y=6.5.log
-3.5,6.0,6.5,-4.351060213521123,1,Done,PDI_x=-3.5_z=6.5_y=6.0.log
-3.5,6.0,6.5,-4.351060213521123,1,Done,PDI_x=-3.5_z=6.5_y=6.0.log
-3.5,6.0,4.0,-5.469000654062256,2,Done,PDI_x=-3.5_z=4.0_y=6.0.log
-3.5,6.0,5.0,-5.070801633177325,2,Done,PDI_x=-3.5_z=5.0_y=6.0.log
-3.5,6.0,5.0,-5.070801633177325,2,Done,PDI_x=-3.5_z=5.0_y=6.0.log
-3.5,6.0,6.0,-4.678896537749097,1,Done,PDI_x=-3.5_z=6.0_y=6.0.log
-3.5,5.5,9.0,-2.87554574967362,1,Done,PDI_x=-3.5_z=9.0_y=5.5.log
-3.5,5.5,8.0,-3.565091388532892,1,Done,PDI_x=-3.5_z=8.0_y=5.5.log
-3.5,5.5,8.0,-3.565091388532892,2,Done,PDI_x=-3.5_z=8.0_y=5.5.log
-3.5,5.5,7.0,-4.48866060632281,2,Done,PDI_x=-3.5_z=7.0_y=5.5.log
-3.5,6.0,4.5,-5.234933148836717,2,Done,PDI_x=-3.5_z=4.5_y=6.0.log
-3.5,6.0,4.5,-5.234933148836717,1,Done,PDI_x=-3.5_z=4.5_y=6.0.log
-3.5,6.0,5.5,-4.911250940756872,1,Done,PDI_x=-3.5_z=5.5_y=6.0.log
-3.5,5.5,7.5,-4.014099893858656,1,Done,PDI_x=-3.5_z=7.5_y=5.5.log
-3.5,5.5,7.5,-4.014099893858656,2,Done,PDI_x=-3.5_z=7.5_y=5.5.log
-3.5,5.5,8.5,-3.1774659110233188,2,Done,PDI_x=-3.5_z=8.5_y=5.5.log
-3.5,6.0,3.5,-5.768636679043993,2,Done,PDI_x=-3.5_z=3.5_y=6.0.log
-3.5,5.5,6.5,-4.954699732828885,1,Done,PDI_x=-3.5_z=6.5_y=5.5.log
